Company,Data Count
RADHIKAJWE,517
RADIANTCMS,401
RADICO,5249
RADIOCITY,1836
RAILTEL,860
RAIN,5471
RAINBOW,566
RAJESHEXPO,5501
RAJMET,1439
RAJRATAN,1055
RAJRILTD,4347
RAJSREESUG,5497
RAJTV,4299
RALLIS,5498
RAMANEWS,5501
RAMAPHO,503
RAMASTEEL,2219
RAMCOCEM,5499
RAMCOIND,5499
RAMCOSYS,5467
RAMKY,3420
RAMRAT,508
RANASUG,4810
RANEENGINE,3983
RANEHOLDIN,5499
RATEGAIN,662
RATNAMANI,4513
RATNAVEER,232
RAYMOND,7193
RBA,912
RBL,4101
RBLBANK,1969
RBZJEWEL,161
RCF,5498
RECLTD,4051
REDINGTON,4319
REDTAPE,251
REFEX,3632
REGENCERAM,5499
RELAXO,3248
RELCHEMQ,555
RELIABLE,1691
RELIANCE,7193
RELIGARE,4128
RELINFRA,7196
RELTD,18
REMSONSIND,5500
RENUKA,4638
REPCOHOME,2809
REPL,1496
REPRO,4905
RESPONIND,3405
RETAIL,41
RGL,4113
RHFL,1707
RHIM,3069
RHL,328
RICOAUTO,5497
RIIL,7193
RISHABH,232
RITCO,583
RITES,1514
RKDL,3367
RKEC,1696
RKFORGE,5018
RKSWAMY,110
RML,4680
ROHLTD,4573
ROLEXRINGS,751
ROLLT,1916
ROLTA,5498
ROML,3706
ROSSARI,1012
ROSSELLIND,2934
ROTO,578
ROUTE,970
RPEL,11
RPGLIFE,5467
RPOWER,4072
RPPINFRA,3381
RPPL,1448
RPSGVENT,1375
RPTECH,128
RRKABEL,226
RSSOFTWARE,5498
RSWM,5498
RSYSTEMS,4521
RTNINDIA,2972
RTNPOWER,3654
RUBFILA,11
RUBYMILLS,5496
RUCHINFRA,5456
RUCHIRA,4356
RUPA,3134
RUSHIL,3234
RUSTOMJEE,430
RVHL,908
RVNL,1325
S&SPOWER,1088
SABEVENTS,1959
SABTNL,5501
SADBHAV,4557
SADBHIN,2202
SADHNANIQ,321
SAFARI,1224
SAGARDEEP,1756
SAGCEM,4331
SAH,395
SAHYADRI,339
SAIL,7196
SAKAR,1835
SAKHTISUG,5498
SAKSOFT,4760
SAKUMA,4552
SALASAR,1748
SALONA,3463
SALSTEEL,4874
SALZERELEC,2154
SAMBHAAV,5500
SAMHI,224
SAMMAANCAP,2731
SAMPANN,2973
SANCO,2151
SANDESH,5498
SANDHAR,1579
SANDUMA,234
SANGAMIND,5499
SANGHIIND,4480
SANGHVIMOV,4333
SANGINITA,1837
SANOFI,5498
SANSERA,719
SANSTAR,20
SANWARIA,4540
SAPPHIRE,682
SARDAEN,3632
SAREGAMA,5498
SARLAPOLY,4336
SARVESHWAR,1587
SASKEN,4673
SASTASUNDR,3423
SATIA,1261
SATIN,2216
SATINDLTD,433
SAURASHCEM,119
SBC,680
SBCL,782
SBFC,249
SBGLP,375
SBICARD,1099
SBILIFE,1701
SBIN,7194
SCHAEFFLER,5498
SCHAND,1802
SCHNEIDER,3063
SCI,5498
SCILAL,105
SCPL,432
SDBL,2561
SEAMECLTD,5498
SECMARK,209
SECURCRED,1672
SECURKLOUD,2603
SEJALLTD,3634
SELAN,4414
SELMC,4192
SEMAC,4692
SENCO,272
SEPC,4065
SEQUENT,2086
SERVOTECH,1126
SESHAPAPER,5498
SETCO,2010
SETUINFRA,3174
SFL,1902
SGIL,759
SGL,4531
SHAH,271
SHAHALLOYS,4732
SHAILY,589
SHAKTIPUMP,3160
SHALBY,1649
SHALPAINTS,4057
SHANKARA,1824
SHANTI,1739
SHANTIGEAR,5500
SHARDACROP,2443
SHARDAMOTR,2211
SHAREINDIA,970
SHEKHAWATI,17
SHEMAROO,2437
SHILPAMED,3632
SHIVALIK,668
SHIVAMAUTO,4377
SHIVAMILLS,1600
SHIVATEX,5499
SHK,2165
SHOPERSTOP,4750
SHRADHA,1651
SHREDIGCEM,1240
SHREECEM,5758
SHREEPUSHK,2206
SHREERAMA,6094
SHRENIK,1752
SHREYANIND,5505
SHREYAS,5499
SHRIPISTON,2026
SHRIRAMFIN,5501
SHRIRAMPPS,661
SHYAMCENT,2238
SHYAMMETL,782
SHYAMTEL,5499
SIEMENS,6411
SIGACHI,685
SIGIND,2761
SIGMA,933
SIGNATURE,221
SIGNPOST,128
SIKKO,1744
SIL,5499
SILGO,1434
SILINV,5498
SILLYMONKS,1625
SILVERTUC,1658
SIMBHALS,4476
SIMPLEXINF,5060
SINCLAIR,91
SINDHUTRAD,289
SINTERCOM,1607
SIRCA,1528
SIS,1736
SITINET,4343
SIYSIL,5552
SJS,685
SJVN,3520
SKFINDIA,5468
SKIPPER,2282
SKMEGGPROD,5497
SKYGOLD,399
SMARTLINK,5498
SMCGLOBAL,862
SMLISUZU,5498
SMLT,678
SMSLIFE,1731
SMSPHARMA,4311
SNOWMAN,2450
SOBHA,4356
SOFTTECH,1539
SOLARA,1518
SOLARINDS,4535
SOMANYCERA,5501
SOMATEX,5498
SOMICONVEY,2000
SONACOMS,782
SONAMLTD,1517
SONATSOFTW,5498
SOTL,5498
SOUTHBANK,6423
SOUTHWEST,1606
SPAL,1981
SPANDANA,1240
SPARC,5360
SPCENET,2655
SPECIALITY,3015
SPENCERS,1375
SPIC,5498
SPLIL,4704
SPLPETRO,5498
SPMLINFRA,5501
SPORTKING,492
SREEL,2623
SRF,5498
SRGHFL,246
SRHHYPOLTD,4266
SRM,96
SRPL,1613
SSDL,4
SSWL,4740
STANLEY,39
STAR,5504
STARCEMENT,1773
STARHEALTH,667
STARPAPER,5499
STARTECK,570
STCINDIA,5303
STEELCAS,680
STEELCITY,1837
STEELXIND,1751
STEL,3336
STERTOOLS,4575
STLTECH,5907
STOVEKRAFT,874
STYLAMIND,756
STYRENIX,5467
SUBEXLTD,5190
SUBROS,4713
SUDARSCHEM,4805
SUKHJITS,442
SULA,410
SUMEETINDS,3377
SUMICHEM,1132
SUMIT,1456
SUMMITSEC,3636
SUNCLAY,158
SUNDARAM,3511
SUNDARMFIN,5498
SUNDARMHLD,1581
SUNDRMBRAK,5467
SUNDRMFAST,5500
SUNFLAG,4659
SUNPHARMA,7196
SUNTECK,3645
SUNTV,4523
SUPERHOUSE,2440
SUPERSPIN,4972
SUPRAJIT,4814
SUPREMEENG,1458
SUPREMEIND,5498
SUPREMEINF,4151
SUPRIYA,655
SURAJEST,162
SURANASOL,5468
SURANAT&P,5501
SURYALAXMI,5501
SURYAROSNI,5498
SURYODAY,841
SUTLEJTEX,5467
SUULD,1524
SUVEN,5157
SUVENPHAR,1103
SUVIDHAA,839
SUYOG,4
SUZLON,4646
SVLL,1525
SVPGLOB,768
SWANENERGY,3016
SWARAJENG,5498
SWELECTES,4513
SWSOLAR,1239
SYMPHONY,3250
SYNCOMF,434
SYNGENE,2228
SYRMA,490
TAINWALCHM,5499
TAJGVK,5470
TAKE,4188
TALBROAUTO,4411
TANLA,4346
TARACHAND,1581
TARAPUR,3520
TARC,908
TARMAT,4222
TARSONS,677
TASTYBITE,1832
TATACHEM,7196
TATACOMM,5498
TATACONSUM,7193
TATAELXSI,5498
TATAINVEST,7196
TATAMOTORS,8499
TATAMTRDVR,3893
TATAPOWER,7193
TATASTEEL,7196
TATATECH,178
TATVA,758
TBOTEK,69
TBZ,3030
TCI,5501
TCIEXP,1899
TCIFINANCE,5267
TCLCONS,4066
TCNSBRANDS,1495
TCPLPACK,1691
TCS,5469
TDPOWERSYS,3192
TEAMLEASE,2104
TECHIN,3192
TECHM,4435
TECHNOE,4289
TECILCHEM,331
TEGA,666
TEJASNET,1768
TEMBO,1474
TERASOFT,1889
TEXINFRA,4927
TEXMOPIPES,3568
TEXRAIL,4927
TFCILTD,5498
TFL,4312
TGBHOTELS,4259
THANGAMAYL,3580
THEINVEST,1741
THEJO,2002
THEMISMED,4289
THERMAX,5501
THOMASCOOK,5498
THOMASCOTT,3096
THYROCARE,2049
TI,3479
TIDEWATER,4339
TIIL,4322
TIINDIA,1680
TIJARIA,3167
TIL,5498
TIMESGTY,5500
TIMETECHNO,4240
TIMKEN,5471
TIPSFILMS,463
TIPSINDLTD,5498
TIRUMALCHM,5499
TIRUPATIFL,1694
TITAGARH,4027
TITAN,7196
TMB,477
TNPETRO,5498
TNPL,5467
TNTELE,6410
TOKYOPLAST,5499
TORNTPHARM,5501
TORNTPOWER,4372
TOTAL,1737
TOUCHWOOD,1645
TPHQ,1862
TPLPLASTEH,2287
TRACXN,453
TREEHOUSE,3199
TREJHARA,1395
TREL,252
TRENT,5498
TRF,3609
TRIDENT,5498
TRIGYN,5498
TRIL,4103
TRITURBINE,3159
TRIVENI,4610
TRU,391
TTKHLTCARE,3609
TTKPRESTIG,5501
TTL,4315
TTML,5938
TV18BRDCST,4352
TVSELECT,5499
TVSHLTD,5468
TVSMOTOR,5999
TVSSCS,244
TVSSRICHAK,4321
TVTODAY,5095
TVVISION,1959
UBL,3959
UCAL,264
UCOBANK,5166
UDAICEMENT,84
UDS,217
UFLEX,5498
UFO,2291
UGARSUGAR,3453
UGROCAP,749
UJJIVANSFB,1163
ULTRACEMCO,5468
UMAEXPORTS,586
UMANGDAIRY,2154
UMESLTD,4101
UNICHEMLAB,5501
UNIDT,966
UNIECOM,8
UNIENTER,5498
UNIINFO,1589
UNIONBANK,5439
UNIPARTS,418
UNITDSPR,59
UNITECH,5501
UNITEDPOLY,1835
UNITEDTEA,3608
UNIVASTU,1517
UNIVCABLES,5499
UNIVPHOTO,1118
UNOMINDA,4328
UPL,5499
URAVI,1569
URJA,1829
USHAMART,5630
USK,341
UTIAMC,955
UTKARSHBNK,267
UTTAMSUGAR,4531
V2RETAIL,4225
VADILALIND,3250
VAIBHAVGBL,5039
VAISHALI,1728
VAKRANGEE,4535
VALIANTLAB,215
VALIANTORG,961
VARDHACRLC,5173
VARDMNPOLY,5467
VARROC,1510
VASCONEQ,3584
VASWANI,3161
VBL,1925
VEDL,7196
VENKEYS,5498
VENUSPIPES,556
VENUSREM,4356
VERANDA,584
VERTOZ,1664
VESUVIUS,5498
VETO,2301
VGUARD,4050
VHL,5498
VHLTD,4192
VIDHIING,2091
VIJAYA,727
VIJIFIN,2005
VIKASECO,3131
VIKASLIFE,1310
VIMTALABS,4608
VINATIORGA,3719
VINDHYATEL,5498
VINEETLAB,789
VINNY,1435
VINYLINDIA,4101
VIPCLOTHNG,4202
VIPIND,5498
VIPULLTD,3609
VIRINCHI,323
VISAKAIND,5498
VISHNU,2336
VISHWARAJ,1203
VIVIDHA,2776
VLEGOV,250
VLSFINANCE,5502
VMART,2835
VOLTAMP,4418
VOLTAS,5501
VPRPL,236
VRAJ,36
VRLLOG,2300
VSSL,3024
VSTIND,5499
VSTL,124
VSTTILLERS,3247
VTL,5498
WABAG,3417
WALCHANNAG,5498
WANBURY,4331
WEALTH,1832
WEBELSOLAR,4261
WEIZMANIND,5498
WEL,1236
WELCORP,6025
WELENT,4888
WELINV,5129
WELSPUNLIV,5126
WENDT,4449
WESTLIFE,1240
WEWIN,1509
WHEELS,5498
WHIRLPOOL,5470
WILLAMAGOR,5499
WINDLAS,746
WINDMACHIN,5467
WINSOME,5499
WIPL,1815
WIPRO,7196
WOCKPHARMA,5500
WONDERLA,2537
WORTH,1703
WSI,4205
WSTCSTPAPR,5501
XCHANGING,4801
XELPMOC,1369
XPROINDIA,5024
YAARI,3205
YASHO,246
YATHARTH,256
YATRA,220
YESBANK,4714
YUKEN,734
ZAGGLE,223
ZEEL,5498
ZEELEARN,3372
ZEEMEDIA,5467
ZENITHEXPO,5498
ZENITHSTL,4269
ZENSARTECH,5498
ZENTEC,2320
ZFCVINDIA,5468
ZIMLAB,429
ZODIAC,1230
ZODIACLOTH,5498
ZOMATO,762
ZOTA,1800
ZUARI,2894
ZUARIIND,5498
ZYDUSLIFE,6068
ZYDUSWELL,3646
